"ORDER_ID","STATUS_NAME","PRODUCT_NAME","CREATION_DATE","STATUS_CHANGE_DATE","IS_TEST_ORDER"
77401,CREATED,.ONLINE,"2022-01-24","2022-01-24",false
77401,CANCELLED,.ONLINE,"2022-01-24","2022-01-31",false
77403,CREATED,.ONLINE,"2022-01-06","2022-01-06",false
77403,CONFIRMED,.ONLINE,"2022-01-06","2022-01-10",false
77405,CREATED,.ONLINE,"2022-01-15","2022-01-15",false
77405,CANCELLED,.ONLINE,"2022-01-15","2022-01-21",false
77407,CREATED,.ONLINE,"2022-01-22","2022-01-22",false
77407,CANCELLED,.ONLINE,"2022-01-22","2022-01-26",false
77409,CREATED,.ONLINE,"2022-01-19","2022-01-19",false
77409,IN_PROGRESS,.ONLINE,"2022-01-19","2022-01-20",false
77409,CANCELLED,.ONLINE,"2022-01-19","2022-01-23",false
77412,CREATED,.ONLINE,"2022-01-06","2022-01-06",false
77412,IN_PROGRESS,.ONLINE,"2022-01-06","2022-01-11",false
77412,CONFIRMED,.ONLINE,"2022-01-06","2022-01-15",false
77415,CREATED,.ONLINE,"2022-01-28","2022-01-28",false
77415,CANCELLED,.ONLINE,"2022-01-28","2022-01-30",false
77417,CREATED,.ONLINE,"2022-01-09","2022-01-09",false
77417,IN_PROGRESS,.ONLINE,"2022-01-09","2022-01-19",false
77417,CANCELLED,.ONLINE,"2022-01-09","2022-01-20",false
77420,CREATED,.ONLINE,"2022-01-26","2022-01-26",false
77420,IN_PROGRESS,.ONLINE,"2022-01-26","2022-01-28",false
77420,CONFIRMED,.ONLINE,"2022-01-26","2022-02-06",false
77423,CREATED,.ONLINE,"2022-01-01","2022-01-01",false
77423,CONFIRMED,.ONLINE,"2022-01-01","2022-01-08",false
77425,CREATED,.ONLINE,"2022-01-18","2022-01-18",false
77425,CONFIRMED,.ONLINE,"2022-01-18","2022-01-24",false
77427,CREATED,.ONLINE,"2022-01-13","2022-01-13",false
77427,CANCELLED,.ONLINE,"2022-01-13","2022-01-18",false
77429,CREATED,.ONLINE,"2022-01-19","2022-01-19",false
77429,IN_PROGRESS,.ONLINE,"2022-01-19","2022-01-22",false
77429,CONFIRMED,.ONLINE,"2022-01-19","2022-01-24",false
77432,CREATED,.ONLINE,"2022-01-19","2022-01-19",false
