"TRANSACTION_ID","RATING_DATE","RATING","TOOL"
com-58922,"2022-01-03",0,surveyape
com-67409,"2022-01-28",5,surveyape
com-15162,"2022-01-30",9,surveyape
com-2604,"2022-01-29",10,surveyape
com-68926,"2022-01-15",11,surveyape
com-64056,"2022-01-18",6,surveyape
com-2799,"2022-01-14",10,surveyape
com-12245,"2022-01-13",7,surveyape
com-1720,"2022-01-11",9,surveyape
com-60912,"2022-01-05",8,surveyape
com-11378,"2022-01-22",1,surveyape
com-19711,"2022-01-28",10,surveyape
com-59039,"2022-01-31",10,surveyape
com-54305,"2022-01-10",9,surveyape
com-12594,"2022-01-17",9,surveyape
com-68545,"2022-01-27",3,surveyape
com-4340,"2022-01-16",9,surveyape
com-2305,"2022-01-15",9,surveyape
com-62594,"2022-01-18",9,surveyape
com-10912,"2022-01-04",5,surveyape
com-17409,"2022-01-27",4,surveyape
com-7823,"2022-01-30",3,surveyape
com-66270,"2022-01-05",3,surveyape
com-51026,"2022-01-24",10,surveyape
com-62577,"2022-01-29",9,surveyape
com-68976,"2022-01-22",9,surveyape
com-63854,"2022-01-02",4,surveyape
com-58515,"2022-01-18",5,surveyape
com-56218,"2022-01-31",9,surveyape
com-14616,"2022-01-20",9,surveyape
com-62245,"2022-01-14",10,surveyape
com-7028,"2022-01-14",9,surveyape
com-13514,"2022-01-31",10,surveyape
com-62409,"2022-01-28",10,surveyape
info-76171,"2022-01-06",0,surveyape
info-76301,"2022-01-16",5,surveyape
info-76329,"2022-01-21",1,surveyape
info-76446,"2022-01-28",9,surveyape
info-77254,"2022-01-25",8,surveyape
info-76726,"2022-01-31",9,surveyape
info-77173,"2022-01-07",5,surveyape
info-76559,"2022-01-06",3,surveyape
info-76660,"2022-01-04",9,surveyape
info-76973,"2022-01-09",1,surveyape
info-76684,"2022-01-03",4,surveyape
info-76529,"2022-01-03",4,surveyape
info-77399,"2022-01-15",1,surveyape
info-76942,"2022-01-07",0,surveyape
info-77013,"2022-01-19",3,surveyape
info-77195,"2022-01-07",9,surveyape
info-76900,"2022-01-12",9,surveyape
info-76880,"2022-01-06",10,surveyape
info-77124,"2022-01-31",4,surveyape
info-77193,"2022-01-10",5,surveyape
info-77302,"2022-01-12",7,surveyape
info-77267,"2022-01-07",1,surveyape
info-76289,"2022-01-11",8,surveyape
info-76224,"2022-01-07",1,surveyape
info-76975,"2022-01-11",6,surveyape
info-76919,"2022-01-24",9,surveyape
info-76631,"2022-01-19",7,surveyape
info-76790,"2022-01-14",3,surveyape
info-77247,"2022-01-15",4,surveyape
info-77143,"2022-01-04",0,surveyape
